datetime,throttle
2023-08-13 14:14:54.3,100
2023-08-13 14:14:54.4,100
2023-08-13 14:14:54.5,100
2023-08-13 14:14:54.5,100
2023-08-13 14:14:54.6,100
2023-08-13 14:14:54.7,100
2023-08-13 14:14:54.7,100
2023-08-13 14:14:54.8,100
2023-08-13 14:14:54.9,100
2023-08-13 14:14:54.9,100
2023-08-13 14:14:55.0,100
2023-08-13 14:14:55.1,100
2023-08-13 14:14:55.1,100
2023-08-13 14:14:55.2,100
2023-08-13 14:14:55.3,100
2023-08-13 14:14:55.3,100
2023-08-13 14:14:55.4,100
2023-08-13 14:14:55.5,100
2023-08-13 14:14:55.6,100
2023-08-13 14:14:55.6,100
2023-08-13 14:14:55.7,100
2023-08-13 14:14:55.8,100
2023-08-13 14:14:55.8,100
2023-08-13 14:14:55.9,100
2023-08-13 14:14:56.0,100
2023-08-13 14:14:56.1,100
2023-08-13 14:14:56.1,100
2023-08-13 14:14:56.2,100
2023-08-13 14:14:56.3,100
2023-08-13 14:14:56.3,100
2023-08-13 14:14:56.4,100
2023-08-13 14:14:56.5,100
2023-08-13 14:14:56.5,100
2023-08-13 14:14:56.6,100
2023-08-13 14:14:56.7,100
2023-08-13 14:14:56.7,100
2023-08-13 14:14:56.8,100
2023-08-13 14:14:56.9,100
2023-08-13 14:14:57.0,100
2023-08-13 14:14:57.0,100
2023-08-13 14:14:57.1,100
2023-08-13 14:14:57.2,100
2023-08-13 14:14:57.2,100
2023-08-13 14:14:57.3,100
2023-08-13 14:14:57.4,100
2023-08-13 14:14:57.4,100
2023-08-13 14:14:57.5,100
2023-08-13 14:14:57.6,100
2023-08-13 14:14:57.7,100
2023-08-13 14:14:57.7,100
2023-08-13 14:14:57.8,100
2023-08-13 14:14:57.9,100
2023-08-13 14:14:57.9,100
2023-08-13 14:14:58.0,100
2023-08-13 14:14:58.1,90
2023-08-13 14:14:58.3,80
2023-08-13 14:14:58.6,90
2023-08-13 14:14:58.9,80
2023-08-13 14:14:59.1,70
2023-08-13 14:14:59.4,80
2023-08-13 14:14:59.7,70
2023-08-13 14:15:00.0,60
2023-08-13 14:15:00.2,50
2023-08-13 14:15:00.5,40
2023-08-13 14:15:00.8,30
2023-08-13 14:15:01.1,40
2023-08-13 14:15:01.3,30
2023-08-13 14:15:01.6,20
2023-08-13 14:15:01.9,30
2023-08-13 14:15:02.2,20
2023-08-13 14:15:02.5,10
2023-08-13 14:15:02.7,0
2023-08-13 14:15:03.0,-10
2023-08-13 14:15:03.3,-20
2023-08-13 14:15:03.6,-30
2023-08-13 14:15:03.9,-40
2023-08-13 14:15:04.1,-50
2023-08-13 14:15:04.4,-60
2023-08-13 14:15:04.7,-70
